Assembly Part,Description,SC,Rev,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Description,SC,Rev,S/UOM,P/UOM,Item#,Qty,Option Flag,Product#,Product Price,Effective Date/Rev,Inactive Date/Rev,Reference
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00073 , , , , , , , , , , , , , , , , , , ,"10uF,6.3V,X5R,0805,20%",P, -,EA,EA,0,20,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00074 , , , , , , , , , , , , , , , , , , ,"100uF,6.3V,X5R,1210,20%",P, -,EA,EA,0,19,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00083 , , , , , , , , , , , , , , , , , , ,"10uF,25V,X5R,1206,20%",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00086 , , , , , , , , , , , , , , , , , , ,"22uF,16V,X5R,1210,10%",P, -,EA,EA,0,30,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00091 , , , , , , , , , , , , , , , , , , ,"0.1uF,25V,X5R,0603,10%",P, -,EA,EA,0,7,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00095 , , , , , , , , , , , , , , , , , , ,"0.1uF,6.3V,X5R,0201,10%",P, -,EA,EA,0,83,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00102 , , , , , , , , , , , , , , , , , , ,"4.7uF,6.3V,X5R,0603,10%",P, -,EA,EA,0,6,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00123 , , , , , , , , , , , , , , , , , , ,"5.0F,5V,ELEC,RAD9,20%",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00124 , , , , , , , , , , , , , , , , , , ,"22UF,25V,X5R,0805,20%",P, -,EA,EA,0,18,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00133 , , , , , , , , , , , , , , , , , , ,"49.9,0.063W,1%,0402",P, -,EA,EA,0,27,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00134 , , , , , , , , , , , , , , , , , , ,"150,0.063W,5%,0402",P, -,EA,EA,0,9,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50009-00138 , , , , , , , , , , , , , , , , , , ,"0,0.063W,5%,0402",P, -,EA,EA,0,7,No ,,,01/01/1900,12/31/2099,
